115.5068 	EXP 	grating: autoDraw = True
115.5068 	EXP 	grating: tex = 'sin'
115.5230 	EXP 	fixation: autoDraw = False
115.8237 	EXP 	grating: autoDraw = False
115.8600 	EXP 	window1: recordFrameIntervals = False
115.8614 	DATA 	Keypress: right
115.8741 	EXP 	fixation: autoDraw = False
115.8741 	EXP 	grating: autoDraw = False
115.8742 	EXP 	window1: recordFrameIntervals = True
116.8722 	EXP 	fixation: autoDraw = True
117.8737 	EXP 	fixation: autoDraw = False
117.8737 	EXP 	grating: autoDraw = True
117.8737 	EXP 	grating: tex = 'sin'
118.1900 	EXP 	grating: autoDraw = False
118.3762 	EXP 	window1: recordFrameIntervals = False
118.3785 	DATA 	Keypress: left
118.3905 	EXP 	fixation: autoDraw = False
118.3905 	EXP 	grating: autoDraw = False
118.3906 	EXP 	window1: recordFrameIntervals = True
119.3884 	EXP 	fixation: autoDraw = True
120.3908 	EXP 	fixation: autoDraw = False
120.3908 	EXP 	grating: autoDraw = True
120.3908 	EXP 	grating: tex = 'sin'
120.7067 	EXP 	grating: autoDraw = False
120.8601 	EXP 	window1: recordFrameIntervals = False
120.8623 	DATA 	Keypress: right
120.8714 	EXP 	fixation: autoDraw = False
120.8714 	EXP 	grating: autoDraw = False
120.8715 	EXP 	window1: recordFrameIntervals = True
121.8726 	EXP 	fixation: autoDraw = True
122.8743 	EXP 	grating: autoDraw = True
122.8743 	EXP 	grating: tex = 'sin'
122.8904 	EXP 	fixation: autoDraw = False
123.1899 	EXP 	grating: autoDraw = False
123.6095 	EXP 	window1: recordFrameIntervals = False
123.6122 	DATA 	Keypress: left
123.6242 	EXP 	fixation: autoDraw = False
123.6242 	EXP 	grating: autoDraw = False
123.6243 	EXP 	window1: recordFrameIntervals = True
124.6233 	EXP 	fixation: autoDraw = True
125.6241 	EXP 	grating: autoDraw = True
125.6241 	EXP 	grating: tex = 'sin'
125.6408 	EXP 	fixation: autoDraw = False
125.9404 	EXP 	grating: autoDraw = False
126.1425 	EXP 	window1: recordFrameIntervals = False
126.1446 	DATA 	Keypress: right
126.1549 	EXP 	fixation: autoDraw = False
126.1549 	EXP 	grating: autoDraw = False
126.1550 	EXP 	window1: recordFrameIntervals = True
127.1545 	EXP 	fixation: autoDraw = True
128.1569 	EXP 	fixation: autoDraw = False
128.1569 	EXP 	grating: autoDraw = True
128.1569 	EXP 	grating: tex = 'sin'
128.4738 	EXP 	grating: autoDraw = False
128.5769 	EXP 	window1: recordFrameIntervals = False
128.5791 	DATA 	Keypress: right
128.5882 	EXP 	fixation: autoDraw = False
128.5882 	EXP 	grating: autoDraw = False
128.5883 	EXP 	window1: recordFrameIntervals = True
129.5937 	EXP 	fixation: autoDraw = True
130.5911 	EXP 	grating: autoDraw = True
130.5911 	EXP 	grating: tex = 'sin'
130.6075 	EXP 	fixation: autoDraw = False
130.9070 	EXP 	grating: autoDraw = False
131.0425 	EXP 	window1: recordFrameIntervals = False
131.0446 	DATA 	Keypress: left
131.0573 	EXP 	fixation: autoDraw = False
131.0573 	EXP 	grating: autoDraw = False
131.0574 	EXP 	window1: recordFrameIntervals = True
132.0551 	EXP 	fixation: autoDraw = True
133.0575 	EXP 	fixation: autoDraw = False
133.0575 	EXP 	grating: autoDraw = True
133.0575 	EXP 	grating: tex = 'sin'
133.3741 	EXP 	grating: autoDraw = False
133.6770 	EXP 	window1: recordFrameIntervals = False
133.6793 	DATA 	Keypress: left
133.6883 	EXP 	fixation: autoDraw = False
133.6883 	EXP 	grating: autoDraw = False
133.6884 	EXP 	window1: recordFrameIntervals = True
134.6901 	EXP 	fixation: autoDraw = True
135.6912 	EXP 	grating: autoDraw = True
135.6912 	EXP 	grating: tex = 'sin'
135.7071 	EXP 	fixation: autoDraw = False
136.0071 	EXP 	grating: autoDraw = False
136.0941 	EXP 	window1: recordFrameIntervals = False
136.0965 	DATA 	Keypress: right
136.1077 	EXP 	fixation: autoDraw = False
136.1077 	EXP 	grating: autoDraw = False
136.1078 	EXP 	window1: recordFrameIntervals = True
137.1066 	EXP 	fixation: autoDraw = True
138.1078 	EXP 	grating: autoDraw = True
138.1078 	EXP 	grating: tex = 'sin'
138.1237 	EXP 	fixation: autoDraw = False
138.4240 	EXP 	grating: autoDraw = False
138.4758 	EXP 	window1: recordFrameIntervals = False
138.4780 	DATA 	Keypress: right
138.4885 	EXP 	fixation: autoDraw = False
138.4885 	EXP 	grating: autoDraw = False
138.4886 	EXP 	window1: recordFrameIntervals = True
139.5002 	EXP 	fixation: autoDraw = True
140.4916 	EXP 	grating: autoDraw = True
140.4916 	EXP 	grating: tex = 'sin'
140.5072 	EXP 	fixation: autoDraw = False
140.8071 	EXP 	grating: autoDraw = False
140.8927 	EXP 	window1: recordFrameIntervals = False
140.8947 	DATA 	Keypress: right
140.9076 	EXP 	fixation: autoDraw = False
140.9076 	EXP 	grating: autoDraw = False
140.9077 	EXP 	window1: recordFrameIntervals = True
141.9055 	EXP 	fixation: autoDraw = True
142.9076 	EXP 	fixation: autoDraw = False
142.9076 	EXP 	grating: autoDraw = True
142.9076 	EXP 	grating: tex = 'sin'
143.2245 	EXP 	grating: autoDraw = False
143.3344 	EXP 	window1: recordFrameIntervals = False
143.3357 	DATA 	Keypress: right
143.3578 	EXP 	fixation: autoDraw = False
143.3578 	EXP 	grating: autoDraw = False
143.3578 	EXP 	window1: recordFrameIntervals = True
144.3468 	EXP 	fixation: autoDraw = True
145.3387 	EXP 	grating: autoDraw = True
145.3387 	EXP 	grating: tex = 'sin'
145.3580 	EXP 	fixation: autoDraw = False
145.6387 	EXP 	grating: autoDraw = False
145.7407 	EXP 	window1: recordFrameIntervals = False
145.7428 	DATA 	Keypress: left
145.7578 	EXP 	fixation: autoDraw = False
145.7578 	EXP 	grating: autoDraw = False
145.7579 	EXP 	window1: recordFrameIntervals = True
146.7535 	EXP 	fixation: autoDraw = True
147.7381 	EXP 	grating: autoDraw = True
147.7381 	EXP 	grating: tex = 'sin'
147.7579 	EXP 	fixation: autoDraw = False
148.0387 	EXP 	grating: autoDraw = False
148.1269 	EXP 	window1: recordFrameIntervals = False
148.1292 	DATA 	Keypress: right
148.1387 	EXP 	fixation: autoDraw = False
148.1387 	EXP 	grating: autoDraw = False
148.1388 	EXP 	window1: recordFrameIntervals = True
149.1391 	EXP 	fixation: autoDraw = True
150.1409 	EXP 	fixation: autoDraw = False
150.1409 	EXP 	grating: autoDraw = True
150.1409 	EXP 	grating: tex = 'sin'
150.4579 	EXP 	grating: autoDraw = False
150.6097 	EXP 	window1: recordFrameIntervals = False
150.6119 	DATA 	Keypress: right
150.6220 	EXP 	fixation: autoDraw = False
150.6220 	EXP 	grating: autoDraw = False
150.6221 	EXP 	window1: recordFrameIntervals = True
151.6220 	EXP 	fixation: autoDraw = True
152.6248 	EXP 	fixation: autoDraw = False
152.6248 	EXP 	grating: autoDraw = True
152.6248 	EXP 	grating: tex = 'sin'
152.9412 	EXP 	grating: autoDraw = False
153.1070 	EXP 	window1: recordFrameIntervals = False
153.1083 	DATA 	Keypress: left
153.1243 	EXP 	fixation: autoDraw = False
153.1243 	EXP 	grating: autoDraw = False
153.1244 	EXP 	window1: recordFrameIntervals = True
154.1200 	EXP 	fixation: autoDraw = True
155.1052 	EXP 	grating: autoDraw = True
155.1052 	EXP 	grating: tex = 'sin'
155.1248 	EXP 	fixation: autoDraw = False
155.4054 	EXP 	grating: autoDraw = False
155.5263 	EXP 	window1: recordFrameIntervals = False
155.5275 	DATA 	Keypress: right
155.5416 	EXP 	fixation: autoDraw = False
155.5416 	EXP 	grating: autoDraw = False
155.5417 	EXP 	window1: recordFrameIntervals = True
156.5389 	EXP 	fixation: autoDraw = True
157.5416 	EXP 	fixation: autoDraw = False
157.5416 	EXP 	grating: autoDraw = True
